Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
3/31/2022,$276.77B,$134.00B,2.07
12/31/2021,$282.30B,$138.25B,2.04
9/30/2021,$261.84B,$120.56B,2.17
6/30/2021,$245.52B,$114.80B,2.14
3/31/2021,$219.76B,$103.32B,2.13
12/31/2020,$227.79B,$93.40B,2.44
9/30/2020,$199.40B,$82.78B,2.41
6/30/2020,$184.59B,$73.73B,2.5
3/31/2020,$155.97B,$65.27B,2.39
12/31/2019,$163.19B,$62.06B,2.63
9/30/2019,$142.59B,$56.51B,2.52
6/30/2019,$138.29B,$53.06B,2.61
3/31/2019,$129.69B,$48.41B,2.68
12/31/2018,$119.10B,$43.55B,2.74
9/30/2018,$104.57B,$39.13B,2.67
6/30/2018,$99.11B,$35.00B,2.83
3/31/2018,$94.90B,$31.46B,3.02
12/31/2017,$103.60B,$27.71B,3.74
9/30/2017,$90.61B,$24.66B,3.68
6/30/2017,$64.57B,$23.21B,2.78
3/31/2017,$59.30B,$21.67B,2.74
12/31/2016,$64.12B,$19.29B,3.33
9/30/2016,$53.12B,$17.78B,2.99
6/30/2016,$48.54B,$16.54B,2.94
3/31/2016,$46.37B,$14.76B,3.14
12/31/2015,$51.36B,$13.38B,3.84
9/30/2015,$43.80B,$12.43B,3.52
6/30/2015,$40.67B,$11.77B,3.46
3/31/2015,$39.20B,$10.87B,3.61
12/31/2014,$43.76B,$10.74B,4.07
9/30/2014,$30.08B,$10.34B,2.91
6/30/2014,$27.30B,$10.60B,2.58
3/31/2014,$26.04B,$10.33B,2.52
12/31/2013,$30.41B,$9.75B,3.12
9/30/2013,$22.77B,$9.09B,2.51
6/30/2013,$20.89B,$8.73B,2.39
3/31/2013,$19.95B,$8.43B,2.37
12/31/2012,$24.36B,$8.19B,2.97
9/30/2012,$15.28B,$7.55B,2.02
6/30/2012,$13.52B,$7.51B,1.8
3/31/2012,$13.07B,$7.27B,1.8
12/31/2011,$17.52B,$7.76B,2.26
9/30/2011,$11.29B,$7.77B,1.45
6/30/2011,$10.18B,$7.77B,1.31
3/31/2011,$9.54B,$7.35B,1.3
12/31/2010,$11.93B,$6.86B,1.74
9/30/2010,$7.77B,$6.40B,1.21
6/30/2010,$6.54B,$5.86B,1.12
3/31/2010,$6.42B,$5.62B,1.14
12/31/2009,$8.56B,$5.26B,1.63
9/30/2009,$5.39B,$3.59B,1.5
6/30/2009,$4.42B,$3.26B,1.36
3/31/2009,$4.06B,$2.92B,1.39
