Date,Current Ratio,Return on Equity,Price to Book Ratio,PE Ratio,Debt to Equity Ratio,Price to Sales Ratio
7/19/2022,0.96,,8.98,57.06,2.07,2.54
3/31/2022,1.14,16.87%,12.38,78.69,2.04,3.5
12/31/2021,1.12,27.98%,12.28,51.47,2.17,3.65
9/30/2021,1.2,24.31%,13.81,64.26,2.14,3.68
6/30/2021,1.05,29.86%,15.16,59.96,2.13,3.97
3/31/2021,1.05,30.47%,15.09,58.88,2.44,3.77
12/31/2020,1.11,27.07%,17.54,77.97,2.41,4.3
9/30/2020,1.18,24.49%,19.1,92.2,2.5,4.6
6/30/2020,1.08,20.47%,18.75,106.07,2.39,4.34
3/31/2020,1.1,17.83%,14.91,93.15,2.63,3.32
12/31/2019,1.1,21.07%,14.83,80.31,2.52,3.32
9/30/2019,1.1,22.52%,15.21,76.88,2.61,3.28
6/30/2019,1.09,26.27%,17.63,78.57,2.68,3.77
3/31/2019,1.1,28.91%,18.1,74.35,2.74,3.69
12/31/2018,1.08,27.02%,16.93,74.61,2.67,3.22
9/30/2018,1.07,26.71%,25.03,112.28,2.83,4.51
6/30/2018,1.06,21.12%,23.65,134.8,3.02,4.05
3/31/2018,1.04,14.72%,22.31,182.28,3.74,3.7
12/31/2017,1.03,12.47%,20.43,190.16,3.68,3.24
9/30/2017,1.01,8.67%,18.79,244,2.78,2.92
6/30/2017,1.06,9.38%,20.02,245.69,2.74,3.14
3/31/2017,1.05,13.72%,19.55,166.64,3.33,3.02
12/31/2016,1.06,13.87%,18.55,152.72,2.99,2.67
9/30/2016,1.09,13.47%,22.37,191.6,2.94,3.15
6/30/2016,1.08,13.53%,20.51,178.01,3.14,2.85
3/31/2016,1.05,8.91%,18.99,244.3,3.84,2.5
12/31/2015,1.08,4.92%,23.79,545.07,3.52,3
9/30/2015,1.1,2.86%,19.31,741.55,3.46,2.39
6/30/2015,1.12,-1.72%,17.26,0,3.61,2.11
3/31/2015,1.12,-3.82%,15.95,0,4.07,1.87
12/31/2014,0.89,-2.29%,13.44,0,2.91,1.62
9/30/2014,1,-2.10%,14.44,0,2.58,1.76
6/30/2014,1.05,1.82%,14.15,854.68,2.52,1.84
3/31/2014,1.07,3.17%,14.98,533.91,3.12,1.99
12/31/2013,1.07,3.04%,18.78,687.57,2.51,2.47
9/30/2013,1.11,1.53%,15.76,1116.57,2.39,2.04
6/30/2013,1.14,-1.23%,14.53,0,2.37,1.89
3/31/2013,1.12,-1.10%,14.38,0,2.97,1.9
12/31/2012,1.04,-0.51%,13.9,0,2.02,1.87
9/30/2012,1.08,0.52%,15.25,0,1.8,2.03
6/30/2012,1.16,4.96%,13.75,281.91,1.8,1.93
3/31/2012,1.17,7.33%,12.53,167.36,2.26,1.81
12/31/2011,1.33,8.24%,10.15,126.35,1.45,1.66
9/30/2011,1.4,11.70%,12.67,113.81,1.31,2.28
6/30/2011,1.46,14.63%,11.96,90.08,1.3,2.32
3/31/2011,1.33,15.93%,11.08,77.98,1.74,2.23
12/31/2010,1.5,18.63%,11.83,71.15,1.21,2.4
9/30/2010,1.55,19.39%,11.02,63.59,1.12,2.3
6/30/2010,1.53,21.44%,8.36,45.34,1.14,1.71
3/31/2010,1.33,23.12%,10.78,59.55,1.63,2.26
12/31/2009,1.4,24.03%,11.36,66.27,1.5,2.42
9/30/2009,1.46,,11.28,,1.36,
6/30/2009,1.4,,11.1,,1.39,
3/31/2009,,,10.8,,,
